###################
##### LASERS ######
###################

@ukn_plasma_planck_s_windup_max = 20
#---

@ukn_plasma_1_s_total_fire_time = 40
@ukn_plasma_2_s_total_fire_time = 40
@ukn_plasma_3_s_total_fire_time = 40
@ukn_plasma_4_s_total_fire_time = 40
@ukn_plasma_5_s_total_fire_time = 40
@ukn_plasma_6_s_total_fire_time = 40
@ukn_plasma_7_s_total_fire_time = 40
@ukn_plasma_8_s_total_fire_time = 40
@ukn_plasma_9_s_total_fire_time = 40
@ukn_plasma_10_s_total_fire_time = 40
@ukn_plasma_planck_s_total_fire_time = 40
#---

@ukn_plasma_1_s_range = 40
@ukn_plasma_2_s_range = 40
@ukn_plasma_3_s_range = 40
@ukn_plasma_4_s_range = 40
@ukn_plasma_5_s_range = 40
@ukn_plasma_6_s_range = 45
@ukn_plasma_7_s_range = 45
@ukn_plasma_8_s_range = 45
@ukn_plasma_9_s_range = 50
@ukn_plasma_10_s_range = 50
@ukn_plasma_planck_s_range = 45
#---

@ukn_plasma_1_s_tracking = 0.40
@ukn_plasma_2_s_tracking = 0.40
@ukn_plasma_3_s_tracking = 0.40
@ukn_plasma_4_s_tracking = 0.40
@ukn_plasma_5_s_tracking = 0.40
@ukn_plasma_6_s_tracking = 0.44
@ukn_plasma_7_s_tracking = 0.44
@ukn_plasma_8_s_tracking = 0.44
@ukn_plasma_9_s_tracking = 0.48
@ukn_plasma_10_s_tracking = 0.48
@ukn_plasma_planck_s_tracking = 0.44


# MEDIUM #---------------------------

@ukn_plasma_1_m_power = -11 
@ukn_plasma_2_m_power = -14 
@ukn_plasma_3_m_power = -18 
@ukn_plasma_4_m_power = -23 
@ukn_plasma_5_m_power = -30 
@ukn_plasma_6_m_power = -40 
@ukn_plasma_7_m_power = -57 
@ukn_plasma_8_m_power = -82 
@ukn_plasma_9_m_power = -179 
@ukn_plasma_10_m_power = -277 
@ukn_plasma_planck_m_power = -119 
#---

@ukn_plasma_1_m_dmg_min = 18 
@ukn_plasma_2_m_dmg_min = 23 
@ukn_plasma_3_m_dmg_min = 30 
@ukn_plasma_4_m_dmg_min = 38 
@ukn_plasma_5_m_dmg_min = 50 
@ukn_plasma_6_m_dmg_min = 67 
@ukn_plasma_7_m_dmg_min = 94 
@ukn_plasma_8_m_dmg_min = 137 
@ukn_plasma_9_m_dmg_min = 298 
@ukn_plasma_10_m_dmg_min = 462 
@ukn_plasma_planck_m_dmg_min = 199 

@ukn_plasma_1_m_dmg_max = 37 
@ukn_plasma_2_m_dmg_max = 48 
@ukn_plasma_3_m_dmg_max = 62 
@ukn_plasma_4_m_dmg_max = 81 
@ukn_plasma_5_m_dmg_max = 105 
@ukn_plasma_6_m_dmg_max = 142 
@ukn_plasma_7_m_dmg_max = 198 
@ukn_plasma_8_m_dmg_max = 288 
@ukn_plasma_9_m_dmg_max = 626 
@ukn_plasma_10_m_dmg_max = 970 
@ukn_plasma_planck_m_dmg_max = 417 
#---

@ukn_plasma_1_m_windup_min = 2
@ukn_plasma_2_m_windup_min = 2
@ukn_plasma_3_m_windup_min = 2
@ukn_plasma_4_m_windup_min = 2
@ukn_plasma_5_m_windup_min = 2
@ukn_plasma_6_m_windup_min = 2
@ukn_plasma_7_m_windup_min = 2
@ukn_plasma_8_m_windup_min = 2
@ukn_plasma_9_m_windup_min = 2
@ukn_plasma_10_m_windup_min = 2
@ukn_plasma_planck_m_windup_min = 2

@ukn_plasma_1_m_windup_max = 20
@ukn_plasma_2_m_windup_max = 20
@ukn_plasma_3_m_windup_max = 20
@ukn_plasma_4_m_windup_max = 20
@ukn_plasma_5_m_windup_max = 20
@ukn_plasma_6_m_windup_max = 20
@ukn_plasma_7_m_windup_max = 20
@ukn_plasma_8_m_windup_max = 20
@ukn_plasma_9_m_windup_max = 20
@ukn_plasma_10_m_windup_max = 20
@ukn_plasma_planck_m_windup_max = 20
#---

@ukn_plasma_1_m_total_fire_time = 40
@ukn_plasma_2_m_total_fire_time = 40
@ukn_plasma_3_m_total_fire_time = 40
@ukn_plasma_4_m_total_fire_time = 40
@ukn_plasma_5_m_total_fire_time = 40
@ukn_plasma_6_m_total_fire_time = 40
@ukn_plasma_7_m_total_fire_time = 40
@ukn_plasma_8_m_total_fire_time = 40
@ukn_plasma_9_m_total_fire_time = 40
@ukn_plasma_10_m_total_fire_time = 40
@ukn_plasma_planck_m_total_fire_time = 40
#---

@ukn_plasma_1_m_range = 60
@ukn_plasma_2_m_range = 60
@ukn_plasma_3_m_range = 60
@ukn_plasma_4_m_range = 60
@ukn_plasma_5_m_range = 60
@ukn_plasma_6_m_range = 65
@ukn_plasma_7_m_range = 65
@ukn_plasma_8_m_range = 65
@ukn_plasma_9_m_range = 75
@ukn_plasma_10_m_range = 75
@ukn_plasma_planck_m_range = 65
#---

@ukn_plasma_1_m_tracking = 0.20
@ukn_plasma_2_m_tracking = 0.20
@ukn_plasma_3_m_tracking = 0.20
@ukn_plasma_4_m_tracking = 0.20
@ukn_plasma_5_m_tracking = 0.20
@ukn_plasma_6_m_tracking = 0.22
@ukn_plasma_7_m_tracking = 0.22
@ukn_plasma_8_m_tracking = 0.22
@ukn_plasma_9_m_tracking = 0.24
@ukn_plasma_10_m_tracking = 0.24
@ukn_plasma_planck_m_tracking = 0.22


# LARGE #---------------------------

@ukn_plasma_1_l_power = -20 
@ukn_plasma_2_l_power = -27 
@ukn_plasma_3_l_power = -35 
@ukn_plasma_4_l_power = -45 
@ukn_plasma_5_l_power = -58 
@ukn_plasma_6_l_power = -79 
@ukn_plasma_7_l_power = -111 
@ukn_plasma_8_l_power = -160 
@ukn_plasma_9_l_power = -349 
@ukn_plasma_10_l_power = -540 
@ukn_plasma_planck_l_power = -232 
#---

@ukn_plasma_1_l_dmg_min = 42 
@ukn_plasma_2_l_dmg_min = 55 
@ukn_plasma_3_l_dmg_min = 71 
@ukn_plasma_4_l_dmg_min = 92 
@ukn_plasma_5_l_dmg_min = 120 
@ukn_plasma_6_l_dmg_min = 162 
@ukn_plasma_7_l_dmg_min = 227 
@ukn_plasma_8_l_dmg_min = 329 
@ukn_plasma_9_l_dmg_min = 715 
@ukn_plasma_10_l_dmg_min = 1108 
@ukn_plasma_planck_l_dmg_min = 477 

@ukn_plasma_1_l_dmg_max = 88 
@ukn_plasma_2_l_dmg_max = 115 
@ukn_plasma_3_l_dmg_max = 149 
@ukn_plasma_4_l_dmg_max = 194 
@ukn_plasma_5_l_dmg_max = 252 
@ukn_plasma_6_l_dmg_max = 340 
@ukn_plasma_7_l_dmg_max = 476 
@ukn_plasma_8_l_dmg_max = 690 
@ukn_plasma_9_l_dmg_max = 1502 
@ukn_plasma_10_l_dmg_max = 2327 
@ukn_plasma_planck_l_dmg_max = 1001 
#---

@ukn_plasma_1_l_windup_min = 2
@ukn_plasma_2_l_windup_min = 2
@ukn_plasma_3_l_windup_min = 2
@ukn_plasma_4_l_windup_min = 2
@ukn_plasma_5_l_windup_min = 2
@ukn_plasma_6_l_windup_min = 2
@ukn_plasma_7_l_windup_min = 2
@ukn_plasma_8_l_windup_min = 2
@ukn_plasma_9_l_windup_min = 2
@ukn_plasma_10_l_windup_min = 2
@ukn_plasma_planck_l_windup_min = 2

@ukn_plasma_1_l_windup_max = 20
@ukn_plasma_2_l_windup_max = 20
@ukn_plasma_3_l_windup_max = 20
@ukn_plasma_4_l_windup_max = 20
@ukn_plasma_5_l_windup_max = 20
@ukn_plasma_6_l_windup_max = 20
@ukn_plasma_7_l_windup_max = 20
@ukn_plasma_8_l_windup_max = 20
@ukn_plasma_9_l_windup_max = 20
@ukn_plasma_10_l_windup_max = 20
@ukn_plasma_planck_l_windup_max = 20
#---

@ukn_plasma_1_l_total_fire_time = 40
@ukn_plasma_2_l_total_fire_time = 40
@ukn_plasma_3_l_total_fire_time = 40
@ukn_plasma_4_l_total_fire_time = 40
@ukn_plasma_5_l_total_fire_time = 40
@ukn_plasma_6_l_total_fire_time = 40
@ukn_plasma_7_l_total_fire_time = 40
@ukn_plasma_8_l_total_fire_time = 40
@ukn_plasma_9_l_total_fire_time = 40
@ukn_plasma_10_l_total_fire_time = 40
@ukn_plasma_planck_l_total_fire_time = 40
#---

@ukn_plasma_1_l_range = 80
@ukn_plasma_2_l_range = 80
@ukn_plasma_3_l_range = 80
@ukn_plasma_4_l_range = 80
@ukn_plasma_5_l_range = 80
@ukn_plasma_6_l_range = 90
@ukn_plasma_7_l_range = 90
@ukn_plasma_8_l_range = 90
@ukn_plasma_9_l_range = 100
@ukn_plasma_10_l_range = 100
@ukn_plasma_planck_l_range = 90
#---

@ukn_plasma_1_l_tracking = 0.05
@ukn_plasma_2_l_tracking = 0.05
@ukn_plasma_3_l_tracking = 0.05
@ukn_plasma_4_l_tracking = 0.05
@ukn_plasma_5_l_tracking = 0.05
@ukn_plasma_6_l_tracking = 0.06
@ukn_plasma_7_l_tracking = 0.06
@ukn_plasma_8_l_tracking = 0.06
@ukn_plasma_9_l_tracking = 0.06
@ukn_plasma_10_l_tracking = 0.06
@ukn_plasma_planck_l_tracking = 0.05



##################################
##### POTENTIAL DISLOCATORS ######
##################################

@ukn_potential_dislocator_1_hull_damage_mult = 1.75
@ukn_potential_dislocator_2_hull_damage_mult = 1.75
@ukn_potential_dislocator_3_hull_damage_mult = 1.75
@ukn_potential_dislocator_4_hull_damage_mult = 1.75
@ukn_potential_dislocator_5_hull_damage_mult = 1.75
@ukn_potential_dislocator_6_hull_damage_mult = 1.90
@ukn_potential_dislocator_7_hull_damage_mult = 1.90
@ukn_potential_dislocator_8_hull_damage_mult = 1.90
@ukn_potential_dislocator_9_hull_damage_mult = 2.20
@ukn_potential_dislocator_10_hull_damage_mult = 2.20
@ukn_potential_dislocator_planck_hull_damage_mult = 1.90

@ukn_potential_dislocator_1_armor_penetration_mult = 0.00
@ukn_potential_dislocator_2_armor_penetration_mult = 0.00
@ukn_potential_dislocator_3_armor_penetration_mult = 0.00
@ukn_potential_dislocator_4_armor_penetration_mult = 0.00
@ukn_potential_dislocator_5_armor_penetration_mult = 0.00
@ukn_potential_dislocator_6_armor_penetration_mult = 0.00
@ukn_potential_dislocator_7_armor_penetration_mult = 0.00
@ukn_potential_dislocator_8_armor_penetration_mult = 0.00
@ukn_potential_dislocator_9_armor_penetration_mult = 0.00
@ukn_potential_dislocator_10_armor_penetration_mult = 0.00
@ukn_potential_dislocator_planck_armor_penetration_mult = 0.00

@ukn_potential_dislocator_1_shield_penetration_mult = 0.00
@ukn_potential_dislocator_2_shield_penetration_mult = 0.00
@ukn_potential_dislocator_3_shield_penetration_mult = 0.00
@ukn_potential_dislocator_4_shield_penetration_mult = 0.00
@ukn_potential_dislocator_5_shield_penetration_mult = 0.00
@ukn_potential_dislocator_6_shield_penetration_mult = 0.00
@ukn_potential_dislocator_7_shield_penetration_mult = 0.00
@ukn_potential_dislocator_8_shield_penetration_mult = 0.00
@ukn_potential_dislocator_9_shield_penetration_mult = 0.00
@ukn_potential_dislocator_10_shield_penetration_mult = 0.00
@ukn_potential_dislocator_planck_shield_penetration_mult = 0.00

@ukn_potential_dislocator_1_armor_damage_mult = 0.25
@ukn_potential_dislocator_2_armor_damage_mult = 0.25
@ukn_potential_dislocator_3_armor_damage_mult = 0.25
@ukn_potential_dislocator_4_armor_damage_mult = 0.25
@ukn_potential_dislocator_5_armor_damage_mult = 0.25
@ukn_potential_dislocator_6_armor_damage_mult = 0.30
@ukn_potential_dislocator_7_armor_damage_mult = 0.30
@ukn_potential_dislocator_8_armor_damage_mult = 0.30
@ukn_potential_dislocator_9_armor_damage_mult = 0.35
@ukn_potential_dislocator_10_armor_damage_mult = 0.35
@ukn_potential_dislocator_planck_armor_damage_mult = 0.30

@ukn_potential_dislocator_1_shield_damage_mult = 1.25
@ukn_potential_dislocator_2_shield_damage_mult = 1.25
@ukn_potential_dislocator_3_shield_damage_mult = 1.25
@ukn_potential_dislocator_4_shield_damage_mult = 1.25
@ukn_potential_dislocator_5_shield_damage_mult = 1.25
@ukn_potential_dislocator_6_shield_damage_mult = 1.35
@ukn_potential_dislocator_7_shield_damage_mult = 1.35
@ukn_potential_dislocator_8_shield_damage_mult = 1.35
@ukn_potential_dislocator_9_shield_damage_mult = 1.55
@ukn_potential_dislocator_10_shield_damage_mult = 1.55
@ukn_potential_dislocator_planck_shield_damage_mult = 1.35
#---

@ukn_potential_dislocator_1_accuracy = 0.90
@ukn_potential_dislocator_2_accuracy = 0.90
@ukn_potential_dislocator_3_accuracy = 0.90
@ukn_potential_dislocator_4_accuracy = 0.90
@ukn_potential_dislocator_5_accuracy = 0.90
@ukn_potential_dislocator_6_accuracy = 0.90
@ukn_potential_dislocator_7_accuracy = 0.90
@ukn_potential_dislocator_8_accuracy = 0.90
@ukn_potential_dislocator_9_accuracy = 0.90
@ukn_potential_dislocator_10_accuracy = 0.90
@ukn_potential_dislocator_planck_accuracy = 0.90


# SMALL #---------------------------

@ukn_potential_dislocator_1_s_power = -6 
@ukn_potential_dislocator_2_s_power = -8 
@ukn_potential_dislocator_3_s_power = -10 
@ukn_potential_dislocator_4_s_power = -13 
@ukn_potential_dislocator_5_s_power = -17 
@ukn_potential_dislocator_6_s_power = -23 
@ukn_potential_dislocator_7_s_power = -32 
@ukn_potential_dislocator_8_s_power = -47 
@ukn_potential_dislocator_9_s_power = -102 
@ukn_potential_dislocator_10_s_power = -158 
@ukn_potential_dislocator_planck_s_power = -68 
#---

@ukn_potential_dislocator_1_s_dmg_min = 4 
@ukn_potential_dislocator_2_s_dmg_min = 5 
@ukn_potential_dislocator_3_s_dmg_min = 7 
@ukn_potential_dislocator_4_s_dmg_min = 9 
@ukn_potential_dislocator_5_s_dmg_min = 12 
@ukn_potential_dislocator_6_s_dmg_min = 16 
@ukn_potential_dislocator_7_s_dmg_min = 23 
@ukn_potential_dislocator_8_s_dmg_min = 33 
@ukn_potential_dislocator_9_s_dmg_min = 72 
@ukn_potential_dislocator_10_s_dmg_min = 111 
@ukn_potential_dislocator_planck_s_dmg_min = 48 

@ukn_potential_dislocator_1_s_dmg_max = 8 
@ukn_potential_dislocator_2_s_dmg_max = 10 
@ukn_potential_dislocator_3_s_dmg_max = 13 
@ukn_potential_dislocator_4_s_dmg_max = 17 
@ukn_potential_dislocator_5_s_dmg_max = 22 
@ukn_potential_dislocator_6_s_dmg_max = 30 
@ukn_potential_dislocator_7_s_dmg_max = 42 
@ukn_potential_dislocator_8_s_dmg_max = 60 
@ukn_potential_dislocator_9_s_dmg_max = 132 
@ukn_potential_dislocator_10_s_dmg_max = 204 
@ukn_potential_dislocator_planck_s_dmg_max = 88 
#---

@ukn_potential_dislocator_1_s_windup_min = 1
@ukn_potential_dislocator_2_s_windup_min = 1
@ukn_potential_dislocator_3_s_windup_min = 1
@ukn_potential_dislocator_4_s_windup_min = 1
@ukn_potential_dislocator_5_s_windup_min = 1
@ukn_potential_dislocator_6_s_windup_min = 1
@ukn_potential_dislocator_7_s_windup_min = 1
@ukn_potential_dislocator_8_s_windup_min = 1
@ukn_potential_dislocator_9_s_windup_min = 1
@ukn_potential_dislocator_10_s_windup_min = 1
@ukn_potential_dislocator_planck_s_windup_min = 1

@ukn_potential_dislocator_1_s_windup_min = 19
@ukn_potential_dislocator_2_s_windup_min = 19
@ukn_potential_dislocator_3_s_windup_min = 19
@ukn_potential_dislocator_4_s_windup_min = 19
@ukn_potential_dislocator_5_s_windup_min = 19
@ukn_potential_dislocator_6_s_windup_min = 19
@ukn_potential_dislocator_7_s_windup_min = 19
@ukn_potential_dislocator_8_s_windup_min = 19
@ukn_potential_dislocator_9_s_windup_min = 19
@ukn_potential_dislocator_10_s_windup_min = 19
@ukn_potential_dislocator_planck_s_windup_min = 19
#---

@ukn_potential_dislocator_1_s_total_fire_time = 20
@ukn_potential_dislocator_2_s_total_fire_time = 20
@ukn_potential_dislocator_3_s_total_fire_time = 20
@ukn_potential_dislocator_4_s_total_fire_time = 20
@ukn_potential_dislocator_5_s_total_fire_time = 20
@ukn_potential_dislocator_6_s_total_fire_time = 20
@ukn_potential_dislocator_7_s_total_fire_time = 20
@ukn_potential_dislocator_8_s_total_fire_time = 20
@ukn_potential_dislocator_9_s_total_fire_time = 20
@ukn_potential_dislocator_10_s_total_fire_time = 20
@ukn_potential_dislocator_planck_s_total_fire_time = 20
#---

@ukn_potential_dislocator_1_s_range = 40
@ukn_potential_dislocator_2_s_range = 40
@ukn_potential_dislocator_3_s_range = 40
@ukn_potential_dislocator_4_s_range = 40
@ukn_potential_dislocator_5_s_range = 40
@ukn_potential_dislocator_6_s_range = 45
@ukn_potential_dislocator_7_s_range = 45
@ukn_potential_dislocator_8_s_range = 45
@ukn_potential_dislocator_9_s_range = 50
@ukn_potential_dislocator_10_s_range = 50
@ukn_potential_dislocator_planck_s_range = 45
#---

@ukn_potential_dislocator_1_s_tracking = 0.50
@ukn_potential_dislocator_2_s_tracking = 0.50
@ukn_potential_dislocator_3_s_tracking = 0.50
@ukn_potential_dislocator_4_s_tracking = 0.50
@ukn_potential_dislocator_5_s_tracking = 0.50
@ukn_potential_dislocator_6_s_tracking = 0.55
@ukn_potential_dislocator_7_s_tracking = 0.55
@ukn_potential_dislocator_8_s_tracking = 0.55
@ukn_potential_dislocator_9_s_tracking = 0.60
@ukn_potential_dislocator_10_s_tracking = 0.60
@ukn_potential_dislocator_planck_s_tracking = 0.55


# MEDIUM #---------------------------

@ukn_potential_dislocator_1_m_power = -11 
@ukn_potential_dislocator_2_m_power = -14 
@ukn_potential_dislocator_3_m_power = -18 
@ukn_potential_dislocator_4_m_power = -23 
@ukn_potential_dislocator_5_m_power = -30 
@ukn_potential_dislocator_6_m_power = -40 
@ukn_potential_dislocator_7_m_power = -57 
@ukn_potential_dislocator_8_m_power = -82 
@ukn_potential_dislocator_9_m_power = -179 
@ukn_potential_dislocator_10_m_power = -277 
@ukn_potential_dislocator_planck_m_power = -119 
#---

@ukn_potential_dislocator_1_m_dmg_min = 11 
@ukn_potential_dislocator_2_m_dmg_min = 14 
@ukn_potential_dislocator_3_m_dmg_min = 18 
@ukn_potential_dislocator_4_m_dmg_min = 23 
@ukn_potential_dislocator_5_m_dmg_min = 30 
@ukn_potential_dislocator_6_m_dmg_min = 40 
@ukn_potential_dislocator_7_m_dmg_min = 57 
@ukn_potential_dislocator_8_m_dmg_min = 82 
@ukn_potential_dislocator_9_m_dmg_min = 179 
@ukn_potential_dislocator_10_m_dmg_min = 277 
@ukn_potential_dislocator_planck_m_dmg_min = 119 

@ukn_potential_dislocator_1_m_dmg_max = 19 
@ukn_potential_dislocator_2_m_dmg_max = 25 
@ukn_potential_dislocator_3_m_dmg_max = 33 
@ukn_potential_dislocator_4_m_dmg_max = 42 
@ukn_potential_dislocator_5_m_dmg_max = 55 
@ukn_potential_dislocator_6_m_dmg_max = 74 
@ukn_potential_dislocator_7_m_dmg_max = 104 
@ukn_potential_dislocator_8_m_dmg_max = 151 
@ukn_potential_dislocator_9_m_dmg_max = 329 
@ukn_potential_dislocator_10_m_dmg_max = 510 
@ukn_potential_dislocator_planck_m_dmg_max = 219 
#---

@ukn_potential_dislocator_1_m_windup_min = 1
@ukn_potential_dislocator_2_m_windup_min = 1
@ukn_potential_dislocator_3_m_windup_min = 1
@ukn_potential_dislocator_4_m_windup_min = 1
@ukn_potential_dislocator_5_m_windup_min = 1
@ukn_potential_dislocator_6_m_windup_min = 1
@ukn_potential_dislocator_7_m_windup_min = 1
@ukn_potential_dislocator_8_m_windup_min = 1
@ukn_potential_dislocator_9_m_windup_min = 1
@ukn_potential_dislocator_10_m_windup_min = 1
@ukn_potential_dislocator_planck_m_windup_min = 1

@ukn_potential_dislocator_1_m_windup_min = 19
@ukn_potential_dislocator_2_m_windup_min = 19
@ukn_potential_dislocator_3_m_windup_min = 19
@ukn_potential_dislocator_4_m_windup_min = 19
@ukn_potential_dislocator_5_m_windup_min = 19
@ukn_potential_dislocator_6_m_windup_min = 19
@ukn_potential_dislocator_7_m_windup_min = 19
@ukn_potential_dislocator_8_m_windup_min = 19
@ukn_potential_dislocator_9_m_windup_min = 19
@ukn_potential_dislocator_10_m_windup_min = 19
@ukn_potential_dislocator_planck_m_windup_min = 19
#---

@ukn_potential_dislocator_1_m_total_fire_time = 20
@ukn_potential_dislocator_2_m_total_fire_time = 20
@ukn_potential_dislocator_3_m_total_fire_time = 20
@ukn_potential_dislocator_4_m_total_fire_time = 20
@ukn_potential_dislocator_5_m_total_fire_time = 20
@ukn_potential_dislocator_6_m_total_fire_time = 20
@ukn_potential_dislocator_7_m_total_fire_time = 20
@ukn_potential_dislocator_8_m_total_fire_time = 20
@ukn_potential_dislocator_9_m_total_fire_time = 20
@ukn_potential_dislocator_10_m_total_fire_time = 20
@ukn_potential_dislocator_planck_m_total_fire_time = 20
#---

@ukn_potential_dislocator_1_m_range = 60
@ukn_potential_dislocator_2_m_range = 60
@ukn_potential_dislocator_3_m_range = 60
@ukn_potential_dislocator_4_m_range = 60
@ukn_potential_dislocator_5_m_range = 60
@ukn_potential_dislocator_6_m_range = 65
@ukn_potential_dislocator_7_m_range = 65
@ukn_potential_dislocator_8_m_range = 65
@ukn_potential_dislocator_9_m_range = 75
@ukn_potential_dislocator_10_m_range = 75
@ukn_potential_dislocator_planck_m_range = 65
#---

@ukn_potential_dislocator_1_m_tracking = 0.30
@ukn_potential_dislocator_2_m_tracking = 0.30
@ukn_potential_dislocator_3_m_tracking = 0.30
@ukn_potential_dislocator_4_m_tracking = 0.30
@ukn_potential_dislocator_5_m_tracking = 0.30
@ukn_potential_dislocator_6_m_tracking = 0.33
@ukn_potential_dislocator_7_m_tracking = 0.33
@ukn_potential_dislocator_8_m_tracking = 0.33
@ukn_potential_dislocator_9_m_tracking = 0.36
@ukn_potential_dislocator_10_m_tracking = 0.36
@ukn_potential_dislocator_planck_m_tracking = 0.33


# LARGE #---------------------------

@ukn_potential_dislocator_1_l_power = -20 
@ukn_potential_dislocator_2_l_power = -27 
@ukn_potential_dislocator_3_l_power = -35 
@ukn_potential_dislocator_4_l_power = -45 
@ukn_potential_dislocator_5_l_power = -58 
@ukn_potential_dislocator_6_l_power = -79 
@ukn_potential_dislocator_7_l_power = -111 
@ukn_potential_dislocator_8_l_power = -160 
@ukn_potential_dislocator_9_l_power = -349 
@ukn_potential_dislocator_10_l_power = -540 
@ukn_potential_dislocator_planck_l_power = -232 
#---

@ukn_potential_dislocator_1_l_dmg_min = 25 
@ukn_potential_dislocator_2_l_dmg_min = 33 
@ukn_potential_dislocator_3_l_dmg_min = 43 
@ukn_potential_dislocator_4_l_dmg_min = 55 
@ukn_potential_dislocator_5_l_dmg_min = 72 
@ukn_potential_dislocator_6_l_dmg_min = 97 
@ukn_potential_dislocator_7_l_dmg_min = 136 
@ukn_potential_dislocator_8_l_dmg_min = 197 
@ukn_potential_dislocator_9_l_dmg_min = 429 
@ukn_potential_dislocator_10_l_dmg_min = 665 
@ukn_potential_dislocator_planck_l_dmg_min = 286 

@ukn_potential_dislocator_1_l_dmg_max = 46 
@ukn_potential_dislocator_2_l_dmg_max = 60 
@ukn_potential_dislocator_3_l_dmg_max = 78 
@ukn_potential_dislocator_4_l_dmg_max = 102 
@ukn_potential_dislocator_5_l_dmg_max = 132 
@ukn_potential_dislocator_6_l_dmg_max = 179 
@ukn_potential_dislocator_7_l_dmg_max = 250 
@ukn_potential_dislocator_8_l_dmg_max = 363 
@ukn_potential_dislocator_9_l_dmg_max = 789 
@ukn_potential_dislocator_10_l_dmg_max = 1224 
@ukn_potential_dislocator_planck_l_dmg_max = 526 
#---

@ukn_potential_dislocator_1_l_windup_min = 1
@ukn_potential_dislocator_2_l_windup_min = 1
@ukn_potential_dislocator_3_l_windup_min = 1
@ukn_potential_dislocator_4_l_windup_min = 1
@ukn_potential_dislocator_5_l_windup_min = 1
@ukn_potential_dislocator_6_l_windup_min = 1
@ukn_potential_dislocator_7_l_windup_min = 1
@ukn_potential_dislocator_8_l_windup_min = 1
@ukn_potential_dislocator_9_l_windup_min = 1
@ukn_potential_dislocator_10_l_windup_min = 1
@ukn_potential_dislocator_planck_l_windup_min = 1

@ukn_potential_dislocator_1_l_windup_min = 19
@ukn_potential_dislocator_2_l_windup_min = 19
@ukn_potential_dislocator_3_l_windup_min = 19
@ukn_potential_dislocator_4_l_windup_min = 19
@ukn_potential_dislocator_5_l_windup_min = 19
@ukn_potential_dislocator_6_l_windup_min = 19
@ukn_potential_dislocator_7_l_windup_min = 19
@ukn_potential_dislocator_8_l_windup_min = 19
@ukn_potential_dislocator_9_l_windup_min = 19
@ukn_potential_dislocator_10_l_windup_min = 19
@ukn_potential_dislocator_planck_l_windup_min = 19
#---

@ukn_potential_dislocator_1_l_total_fire_time = 20
@ukn_potential_dislocator_2_l_total_fire_time = 20
@ukn_potential_dislocator_3_l_total_fire_time = 20
@ukn_potential_dislocator_4_l_total_fire_time = 20
@ukn_potential_dislocator_5_l_total_fire_time = 20
@ukn_potential_dislocator_6_l_total_fire_time = 20
@ukn_potential_dislocator_7_l_total_fire_time = 20
@ukn_potential_dislocator_8_l_total_fire_time = 20
@ukn_potential_dislocator_9_l_total_fire_time = 20
@ukn_potential_dislocator_10_l_total_fire_time = 20
@ukn_potential_dislocator_planck_l_total_fire_time = 20
#---

@ukn_potential_dislocator_1_l_range = 80
@ukn_potential_dislocator_2_l_range = 80
@ukn_potential_dislocator_3_l_range = 80
@ukn_potential_dislocator_4_l_range = 80
@ukn_potential_dislocator_5_l_range = 80
@ukn_potential_dislocator_6_l_range = 90
@ukn_potential_dislocator_7_l_range = 90
@ukn_potential_dislocator_8_l_range = 90
@ukn_potential_dislocator_9_l_range = 100
@ukn_potential_dislocator_10_l_range = 100
@ukn_potential_dislocator_planck_l_range = 90
#---

@ukn_potential_dislocator_1_l_tracking = 0.05
@ukn_potential_dislocator_2_l_tracking = 0.05
@ukn_potential_dislocator_3_l_tracking = 0.05
@ukn_potential_dislocator_4_l_tracking = 0.05
@ukn_potential_dislocator_5_l_tracking = 0.05
@ukn_potential_dislocator_6_l_tracking = 0.06
@ukn_potential_dislocator_7_l_tracking = 0.06
@ukn_potential_dislocator_8_l_tracking = 0.06
@ukn_potential_dislocator_9_l_tracking = 0.06
@ukn_potential_dislocator_10_l_tracking = 0.06
@ukn_potential_dislocator_planck_l_tracking = 0.05
